timestamp,cpu_percent,memory_percent,disk_percent
2026-05-12 16:57:04,14.3,47.5,73.1
2026-05-12 16:57:13,18.0,47.5,73.1
2026-05-12 16:57:22,12.5,47.4,73.1
2026-05-12 16:57:30,11.8,47.4,73.1
2026-05-12 16:57:40,8.7,47.0,73.1
2026-05-12 16:57:48,9.8,47.1,73.1
2026-05-12 16:57:57,12.9,46.9,73.1
